School,Margin_Of_Victory
Air Force,-0.413793103
Akron,6.323529412
Alabama A&M,-7.142857143
Alabama-Birmingham,-1.032258065
Alabama State,-5
Alabama,6.575757576
Albany (NY),3
Alcorn State,-6.9375
American,2.125
Appalachian State,-1.741935484
Arizona State,-5.322580645
Arizona,6.285714286
Arkansas-Little Rock,-0.516129032
Arkansas-Pine Bluff,-8.424242424
Arkansas State,-1.205882353
Arkansas,2.125
Army,-2.133333333
Auburn,-1.322580645
Austin Peay,-3.375
Ball State,2.633333333
Bethune-Cookman,-1.228571429
Binghamton,-13.90322581
Boise State,2.066666667
Boston College,-9.419354839
Boston University,0.34375
Bowling Green State,2.46875
Bradley,-9.40625
Brigham Young,10.54285714
Brown,-7.967741935
Bryant,-13.63333333
Bucknell,7.514285714
Buffalo,5.548387097
Butler,2.891891892
Cal Poly,4.181818182
Cal State Bakersfield,-1.064516129
Cal State Fullerton,6.838709677
Cal State Northridge,-6.892857143
California-Davis,-12.35483871
California-Irvine,-4.0625
California-Riverside,-3.64516129
California-Santa Barbara,6.548387097
California,9.264705882
Campbell,0.28125
Canisius,-10.2
Central Arkansas,-10.79310345
Central Connecticut State,-0.310344828
Central Florida,2.121212121
Central Michigan,-4.8125
Charleston Southern,4.548387097
Charlotte,-1.866666667
Chattanooga,1.75
Chicago State,-14.3
Cincinnati,6.648648649
Citadel,-7.766666667
Clemson,3.903225806
Cleveland State,5.878787879
Coastal Carolina,6.64516129
Colgate,-10.53333333
College of Charleston,2.387096774
Colorado State,2.0625
Colorado,4.444444444
Columbia,3.066666667
Connecticut,4.205882353
Coppin State,-1.466666667
Cornell,-2.321428571
Creighton,9.514285714
Dartmouth,-5.9
Davidson,10.09090909
Dayton,4.181818182
Delaware State,1.689655172
Delaware,0.5625
Denver,7.612903226
DePaul,-2.580645161
Detroit Mercy,4.583333333
Drake,0.235294118
Drexel,9.166666667
Duke,8.647058824
Duquesne,0.64516129
East Carolina,3.774193548
East Tennessee State,2.612903226
Eastern Illinois,-3.034482759
Eastern Kentucky,0.1875
Eastern Michigan,-5.4375
Eastern Washington,1.3125
Elon,-1.64516129
Evansville,0.75
Fairfield,4.27027027
Fairleigh Dickinson,-11.93103448
Florida A&M,-7.303030303
Florida Atlantic,-2.3
Florida Gulf Coast,0
Florida International,-3.965517241
Florida State,6.914285714
Florida,10.91891892
Fordham,-9.551724138
Fresno State,-0.333333333
Furman,-0.516129032
Gardner-Webb,-1.09375
George Mason,5.484848485
George Washington,-4.774193548
Georgetown,9.666666667
Georgia Southern,-1.033333333
Georgia State,8.676470588
Georgia Tech,-2.387096774
Georgia,-2.03125
Gonzaga,10.60606061
Grambling,-17.42857143
Green Bay,-1.566666667
Hampton,-2.151515152
Hartford,-7.225806452
Harvard,9.967741935
Hawaii,-0.96875
High Point,0.870967742
Hofstra,-1.875
Holy Cross,-1.793103448
Houston Baptist,-4.533333333
Houston,0.166666667
Howard,-9.451612903
Idaho State,-7.1
Idaho,1.757575758
Illinois-Chicago,-6.9
Illinois State,3.685714286
Illinois,1.34375
Indiana State,-0.636363636
Indiana,10.83333333
Iona,10.18181818
Iowa State,6
Iowa,0.514285714
IPFW,-4.733333333
IUPUI,-0.3125
Jackson State,-9.838709677
